source,target,value
Eric Darnell,Anne Bancroft,585
Henry Selick,John Hodgman,586
Chris Butler,Elaine Stritch,587
Sam Fell,Frank Langella,588
Graham Annable,Tracy Morgan,589
Phil Lord,Alison Brie,590
Jorge Blanco,James Corden,591
Tim Hill,Ben Falcone,592
Patrick Gilmore,Timothy West,593
Tim Hill,Matthew Gray Gubler,594
Mike Gabriel,Irene Bedard,595
Jimmy Hayward,Dan Fogler,596
Paul King,Sally Hawkins,597
Peter Lord,Brian Blessed,598
Don Bluth,Bernadette Peters,599
Steve Oedekerk,Maurice LaMarche,600
Andrew Adamson,Bobby Block,601
Peter Hewitt,Michael Monks,602
Matthew O'Callaghan,Alexander Gould,603
Jorge R. Gutiérrez,Ana de la Reguera,604
Brad Bird,M. Emmet Walsh,605
Paul Bolger,Rob Paulsen,606
John Lasseter,John Ratzenberger,607
John A. Davis,Julia Roberts,608
Lawrence Kasanoff,Harvey Fierstein,609
Norman Ferguson,Cliff Edwards,610
Peter Lord,Julia Sawalha,611
Jamel Debbouze,Mélissa Theuriau,612
Cal Brunker,Jonathan Morgan Heit,613
Frederik Du Chau,Eric Idle,614
Wes Anderson,Helen McCrory,615
Marc F. Adler,Kelly Ripa,616
Bibo Bergeron,François Cluzet,617
Tim Burton,Atticus Shaffer,618
Yuefeng Song,Jiao Xu,619
Kirk De Micco,Omid Abtahi,620
Kevin Munroe,Mako,621
Gary Chapman,Pip Torrens,622
Hayao Miyazaki,Yuria Nara,623
Jeremy Degruson,Joe Ochman,624
Mark Dindal,Hal Holbrook,625
John Lasseter,Jim Varney,626
Stephen Hillenburg,Rodger Bumpass,627
Stig Bergqvist,Debbie Reynolds,628
Peter Lepeniotis,Sarah Gadon,629
Steve Box,Peter Sallis,630
Tim Burton,Joanna Lumley,631
Shane Acker,Tom Kane,632
Stephen J. Anderson,Huell Howser,633
Mike Disa,Cheech Marin,634
Reinhard Klooss,James Corden,635
Maksim Fadeev,Sergey Garmash,636
Greg Tiernan,Anders Holm,637
Ron Clements,Scott Weinger,638
Igor Kovalyov,Christine Cavanaugh,639
Shinji Aramaki,Haruma Miura,640
John A. Davis,Andrea Martin,641
Cathy Malkasian,Cree Summer,642
John Eng,Nancy Cartwright,643
Ben Stassen,Stacy Keach,644
Jérôme Deschamps,Jérôme Deschamps,645
Inna Evlannikova,Aleksandr Bashirov,646
Richard Williams,Clive Revill,647
Hayao Miyazaki,Jean Simmons,648
Juan José Campanella,Gabriel Almirón,649
Trey Parker,Trey Parker,650
Robin Budd,Spencer Breslin,651
Steve Trenbirth,Tony Jay,652
Jun Falkenstein,Ken Sansom,653
Anthony Bell,Christine Lakin,654
Frank Nissen,John Fiedler,655
Dave Borthwick,Jon Stewart,656
Richard Linklater,Rory Cochrane,657
Hayao Miyazaki,Billy Crudup,658
Katsuhiro Ôtomo,Rosalind Ayres,659
Wayne Thornley,Noureen DeWulf,660
Tom Walsh,Jacqueline Lovell,661
Hayao Miyazaki,Miyu Irino,662
Christian Volckman,Kevork Malikyan,663
Cory Edwards,Jim Belushi,664
Guillaume Ivernel,Mary Mouser,665
Mike Nawrocki,Phil Vischer,666
Anthony Silverston,Loretta Devine,667
Mike Nawrocki,Shelby Vischer,668
Don Bluth,Bill Erwin,669
Stéphane Aubier,Lambert Wilson,670
Mike Judge,John Doman,671
Tim Johnson,April Winchell,672
Lijun Sun,Rebecca Black,673
Chuck Sheetz,Dabney Coleman,674
Tuck Tucker,Paul Sorvino,675
Timothy Björklund,Jerry Stiller,676
Taedong Park,Amanda Troop,677
Gerald Potterton,Don Francks,678
Martyn Pick,Donald Sumpter,679
Duke Johnson,David Thewlis,680
Tomm Moore,Evan McGuire,681
Katsuhiro Ôtomo,Tesshô Genda,682
Vincent Paronnaud,Danielle Darrieux,683
Vladlen Barbe,Ivan Okhlobystin,684
Richard Rich,Cindy Robinson,685
Maurice Joyce,Alice Playten,686
Mamoru Hosoda,Mona Marshall,687
Bob Saget,Jim Belushi,688
Barrett Esposito,Danny Aiello,689
Jay Oliva,Grey Griffin,690
Kunihiko Yuyama,Lisa Ortiz,691
Thorbjørn Christoffersen,Casper Christensen,692
Jerry Rees,Mindy Sterling,693
Sylvain Chomet,Béatrice Bonifassi,695
Ari Folman,Zahava Solomon,696
Jugal Hansraj,Javed Jaffrey,697
William Cottrell,Lucille La Verne,698
Deryck Broom,Anupam Kher,699
James Algar,Ann Gillis,700
Matt Maiellaro,Chris Kattan,701
Tim Johnson,April Winchell,702
Paul Fierlinger,Lynn Redgrave,703
Bill Plympton,Richard Spore,704
Bill Melendez,Christopher Shea,705
