source,target,value
Michael Roemer,Ivan Dixon,325
Michel Gondry,Tom Wilkinson,326
Michel Hazanavicius,Beth Grant,327
Mike Figgis,Julian Sands,328
Nathan Greno,M.C. Gainey,329
Neil Burger,Jake Wood,330
Neil Burger,Jake Wood,331
Nick Cassavetes,Gena Rowlands,332
Norman Jewison,Rosalind Harris,333
Rajkumar Hirani,Jimmy Shergill,334
Rakeysh Omprakash Mehra,Madhavan,335
Richard Brooks,Jack Carson,336
Richard Curtis,Kris Marshall,337
Richard Curtis,Lindsay Duncan,338
Richard Linklater,Athina Rachel Tsangari,339
Richard Linklater,Dominik Castell,340
Richard Linklater,Marie Pillet,341
Richard Schenkman,David Lee Smith,342
Ridley Scott,Oliver Reed,343
Ritesh Batra,Lillete Dubey,344
Rob Reiner,Harley Jane Kozak,345
Rob Reiner,Andre the Giant,346
Rob Reiner,Aidan Quinn,347
Robert Wise,Nicholas Hammond,348
Robert Zemeckis,Nick Searcy,349
Ron Clements,Scott Weinger,350
Scott Hicks,Nicholas Bell,351
Shona Auerbach,Jack McElhone,352
Sidney Lumet,William Holden,353
Spike Jonze,Matt Letscher,354
Spike Lee,Al Freeman Jr.,355
Stanley Donen,Cyd Charisse,356
Stanley Kubrick,Lois Maxwell,357
Stanley Kubrick,Lois Maxwell,358
Stephen Chbosky,Kate Walsh,359
Stephen Daldry,Susanne Lothar,360
Stephen Daldry,Miranda Richardson,361
Stephen Frears,Swoosie Kurtz,362
Stephen Frears,Lisa Bonet,363
Stephen Frears,Swoosie Kurtz,364
Terrence Malick,Richard Libertini,365
Thea Sharrock,Brendan Coyle,366
Tim Burton,Conchata Ferrell,367
Tim Miller,Stefan Kapicic,368
Todd Field,Jane Adams,369
Tom Ford,Keri Lynn Pratt,370
Tom Hooper,Anne Hathaway,371
Tom Hooper,Derek Jacobi,372
Tony Scott,Michael Rapaport,373
Victor Fleming,Thomas Mitchell,374
Wes Anderson,Bob Balaban,375
William Wyler,Dana Andrews,376
Wolfgang Becker,Burghart Klauiner,377
Woody Allen,Nina Arianda,378
Woody Allen,Penelope Wilton,379
Woody Allen,Shelley Duvall,380
Yash Chopra,Anupam Kher,381
Yimou Zhang,Shigeo Kobayashi,382
Yimou Zhang,Zhengyong Zhang,383
Zach Braff,Jill Flint,384
