source,target,value
Tim Burton,Bill Murray,108.8
Tim Burton,Johnny Depp,109.1
Tim Burton,Martin Landau,109.4
Tim McCanlies,Robert Duvall,109.7
Tim McCanlies,Haley Joel Osment,110
Tim McCanlies,Emmanuelle Vaugier,110.3
Tim Miller,Ed Skrein,110.6
Tim Miller,Ryan Reynolds,110.9
Tim Miller,Stefan Kapicic,111.2
Todd Phillips,Rob Riggle,111.5
Todd Phillips,Bradley Cooper,111.8
Todd Phillips,Mike Epps,112.1
Todd Solondz,Jon Lovitz,112.4
Todd Solondz,Philip Seymour Hoffman,112.7
Todd Solondz,Dylan Baker,113
Tom McCarthy,Joe Lo Truglio,113.3
Tom McCarthy,Peter Dinklage,113.6
Tom McCarthy,Paula Garces,113.9
Trey Parker,Eric Idle,114.2
Trey Parker,Minnie Driver,114.5
Trey Parker,Trey Parker,114.8
Wes Anderson,Meryl Streep,115.1
Wes Anderson,Tom Wilkinson,115.4
Wes Anderson,Anjelica Huston,115.7
Wes Anderson,Bill Murray,116
Wes Anderson,Connie Nielsen,116.3
Wes Anderson,Bill Murray,116.6
Wes Anderson,Bill Murray,116.9
Wes Anderson,Bill Murray,117.2
Wes Anderson,Bruce Willis,117.5
Wes Anderson,Bill Murray,117.8
Wes Anderson,Helen McCrory,118.1
Wes Anderson,F. Murray Abraham,118.4
Wes Anderson,Seymour Cassel,118.7
Wes Anderson,Bob Balaban,119
Wes Anderson,Olivia Williams,119.3
Woody Allen,Audrey Fleurot,119.6
Woody Allen,Don Pardo,119.9
Woody Allen,Carol Kane,120.2
Woody Allen,Kurt Fuller,120.5
Woody Allen,Mike Starr,120.8
Woody Allen,Woody Allen,121.1
Woody Allen,Nina Arianda,121.4
Woody Allen,Julie Kavner,121.7
Woody Allen,Shelley Duvall,122
Zach Braff,Michael Weston,122.3
Zach Braff,Armando Riesco,122.6
Zach Braff,Jill Flint,122.9
