source ,target,value
John McTiernan,Aldis Hodge,63
Guy Ritchie,Eddie Marsan,64
Robert Zemeckis,Paul Sanchez,65
Roger Allers,Nathan Lane,66
Mark Osborne,James Franco,67
Quentin Tarantino,Brad Pitt,68
Tim Burton,Alison Lohman,69
James Cameron,Todd Graff,70
Matthew Vaughn,David Kelly,71
Chris Wedge,Stephen Root,72
Ron Howard,Miko Hughes,73
Steven Spielberg,Ariana Richards,74
Phil Lord,Will Ferrell,75
Cameron Crowe,Zooey Deschanel,76
Joss Whedon,Robert Downey Jr.,77
Tim Miller,Ed Skrein,78
Andrew Adamson,Chris Miller,79
Brad Bird,Harry Connick Jr.,80
Steven Spielberg,Julian Glover,81
James Mangold,Logan Lerman,82
Ted Kotcheff,Brian Dennehy,83
Jonathan Frakes,Alfre Woodard,84
Andrew Davis,Daniel Roebuck,85
Yimou Zhang,Tony Chiu Wai Leung,86
Robert Zemeckis,Jeffrey Weissman,87
Michael Mann,Terry Kinney,88
Kevin Reynolds,James Frain,89
Mel Gibson,Dalia Hernández,90
Wes Anderson,Meryl Streep,91
S.S. Rajamouli,Anushka Shetty,92
Joss Whedon,Sean Maher,93
Tim Burton,Jack Palance,94
Ethan Coen,Jeff Bridges,95
Hayao Miyazaki,Yûki Amami,96
Richard Marquand,Ian McDiarmid,97
Wes Anderson,Tom Wilkinson,98
John Lasseter,John Ratzenberger,99
John McTiernan,Jeffrey Jones,100
Greg Tiernan,Salma Hayek,101
Ron Clements,Frank Welker,102
Steven Spielberg,Amrish Puri,103
Jon Favreau,Bill Murray,104
Philip Kaufman,Scott Glenn,105
Joel Coen,Tim Blake Nelson,106
Hayao Miyazaki,Blythe Danner,107
Ruben Fleischer,Bill Murray,108
Irvin Kershner,Kenny Baker,109
William Friedkin,Joe Spinell,110
Steven Spielberg,Karen Allen,111
Sean Penn,William Hurt,112
Hayao Miyazaki,Jada Pinkett Smith,113
Kevin Costner,Michael Spears,114
Robert Zemeckis,Thomas F. Wilson,115
Hayao Miyazaki,Ryûnosuke Kamiki,116
Terry Gilliam,Michael Jeter,117
Danny Boyle,Treat Williams,118
James Cameron,Carrie Henn,119
Alexander Payne,Patrick Gallagher,120
Yimou Zhang,Tony Chiu Wai Leung,121
Wes Anderson,Bill Murray,122
David Lean,José Ferrer,123
Rob Reiner,Carol Kane,124
Tommy Lee Jones,Dwight Yoakam,125
Ted Kotcheff,Brian Dennehy,126
John Cromwell,Mary Astor,127
Steven Spielberg,Robert Shaw,128
Nicholas Meyer,Kirstie Alley,129
Martin Campbell,Tobias Menzies,130
Alexander Payne,Bruce Dern,131
Wolfgang Petersen,Martin Semmelrogge,132
Yimou Zhang,Andy Lau,133
George Lucas,Peter Cushing,134
Stanley Kubrick,Steven Berkoff,135
Stanley Kubrick,Gary Lockwood,136
Stanley Kramer,Sid Caesar,137
Karan Johar,Jimmy Shergill,138
James Frawley,Jim Henson,139
Rob Reiner,Frances Lee McCain,140
Justin Tipping,Natalie Stephany Aguilar,141
Tomm Moore,Mick Lally,142
Sam Mendes,Helen McCrory,143
Phillip Noyce,David Gulpilil,144
Sam Peckinpah,Warren Oates,145
Alfonso Cuarón,Daniel Giménez Cacho,146
John Sturges,Donald Pleasence,147
Aleksandr Veledinskiy,Elena Lyadova,148
Guy Hamilton,Gert Fröbe,149
David Lean,Sessue Hayakawa,150
Howard Hawks,Walter Brennan,151
Victor Fleming,Terry,152
Terence Young,Daniela Bianchi,153
George Miller,Bruce Spence,154
Kevin Macdonald,Brendan Mackey,155
Khyentse Norbu,Lhakpa Dorji,156
Anthony Powell,Tom Hamann,157
Joseph Kosinski,Lauren Cohan,158
Akira Kurosawa,Minoru Chiaki,159
Terry Gilliam,Michael Palin,160
James Cameron,CCH Pounder,161
Nathan Greno,Brad Garrett,162
Joss Whedon,Chris Hemsworth,163
David Yates,Alan Rickman,164
Joss Whedon,Chris Hemsworth,165
Peter Jackson,Aidan Turner,166
Peter Jackson,Aidan Turner,167
Anthony Russo,Robert Downey Jr.,168
Sam Mendes,Albert Finney,169
Lee Unkrich,Tom Hanks,170
Bryan Singer,Jennifer Lawrence,171
J.J. Abrams,Benedict Cumberbatch,172
Justin Lin,Sofia Boutella,173
Andrew Stanton,John Ratzenberger,174
Pete Docter,John Ratzenberger,175
Jon Favreau,Robert Downey Jr.,176
Martin Scorsese,Chloë Grace Moretz,177
Doug Liman,Tom Cruise,178
Pete Docter,Amy Poehler,179
Jon Favreau,Scarlett Johansson,180
Matt Reeves,Gary Oldman,181
Anthony Russo,Scarlett Johansson,182
Don Hall,Damon Wayans Jr.,183
Rich Moore,Jack McBrayer,184
Dean DeBlois,Gerard Butler,185
James Gunn,Bradley Cooper,186
Christopher Nolan,Matthew McConaughey,187
Christopher Nolan,Leonardo DiCaprio,188
Hideaki Anno,Mark Chinnery,189
Peter Jackson,Aidan Turner,190
